STATE,Year,CO2,CH4,N2O,Fluorinated GHG,Incentives,Laws and Regulations,State Incentives,Utility/Private Incentives,Programs,State Hybrid Incentives,Ozone
SC,2017,29349588,121817,142390,0,0,10,10,0,0,0,0.04019486
SC,2018,33186542,124580,149179,0,0,10,10,0,0,0,0.039689947
SD,2012,4011527,9709,17381,0,0,11,6,0,0,0,0.051179444
SD,2013,4120759,9882,17064,0,0,9,6,0,0,0,0.046059833
SD,2014,3973438,9359,16160,0,0,8,6,0,0,0,0.040149111
SD,2015,2887027,5743,9870,0,0,8,6,0,0,0,0.04429375
SD,2016,3584618,7949,13678,0,0,8,6,0,0,0,0.042856083
SD,2017,3510990,7623,13681,0,0,7,6,0,0,0,0.040755889
SD,2018,3814483,8401,14443,0,0,7,6,0,0,0,0.040821444
TN,2012,47676941,378181,267153,0,0,13,8,3,0,0,0.048441467
TN,2013,44278692,367638,219159,0,0,13,9,3,0,0,0.042650514
TN,2014,46922528,397387,232696,0,0,13,8,2,0,0,0.043175947
TN,2015,42745111,380573,204303,0,0,14,8,2,0,0,0.042307173
TN,2016,44506290,440109,211198,0,0,12,8,1,0,0,0.045750101
TN,2017,41691637,296353,191981,0,0,13,7,1,0,0,0.04310387
TN,2018,35850746,239824,155595,0,0,13,8,1,0,0,0.042504449
TX,2012,368923156,4661489,2638464,29501,0,11,15,11,0,0,0.041530895
TX,2013,382325465,4296603,2476208,26263,0,13,14,10,0,0,0.040636835
TX,2014,382047256,4543218,3646756,13611,0,13,14,13,0,0,0.038483779
TX,2015,371615241,4029956,3135715,10538,0,13,10,10,0,0,0.038828336
TX,2016,361882662,4527455,2362572,13776,0,12,9,10,0,0,0.038765969
TX,2017,365430543,3877930,2254594,10524,0,13,11,10,0,0,0.039280401
TX,2018,364771258,3863422,2062643,11048,0,13,10,10,0,0,0.037963128
UT,2012,36532737,468041,235496,0,0,12,5,4,0,0,0.057066118
UT,2013,40024697,246932,250342,0,0,12,5,4,0,0,0.053415277
UT,2014,39846411,246881,258140,0,0,14,5,4,0,0,0.052105748
UT,2015,38444136,221702,222746,0,0,15,7,4,0,0,0.052428619
UT,2016,32625912,210917,178204,0,0,19,7,4,0,0,0.051122467
UT,2017,32547152,204635,141149,0,0,21,8,4,0,0,0.047145782
UT,2018,33600025,208819,140453,0,0,22,8,4,0,0,0.048056853
VT,2012,36510,5702,4668,0,0,9,5,10,0,0,0.0424655
VT,2013,36050,61,124,0,0,10,5,10,0,0,0.039804833
VT,2014,36312,2958,76,0,0,10,5,10,0,0,0.039482833
VT,2015,39289,3684,76,0,0,9,5,10,0,0,0.040898333
VT,2016,37718,3806,21,0,0,9,5,9,0,0,0.039135222
VT,2017,36297,17,21,0,0,9,5,10,0,0,0.037544778
VT,2018,37333,18,22,0,0,11,4,10,0,0,0.038389667
VA,2012,31818558,437466,174043,0,0,19,14,5,0,0,0.046047744
VA,2013,36883768,388972,156761,0,0,20,14,4,0,0,0.04112476
VA,2014,36137665,374363,158498,0,0,19,14,3,0,0,0.04261775
VA,2015,36823988,365497,145363,0,0,18,12,3,0,0,0.042844821
VA,2016,39374011,424940,138959,0,0,18,11,3,0,0,0.041768275
VA,2017,35016710,361724,101226,0,0,18,11,2,0,0,0.041717696
VA,2018,36056866,336713,95428,0,0,17,11,2,0,0,0.03994187
WA,2012,14829018,212026,273728,0,0,27,13,8,0,0,0.036385933
WA,2013,20900934,191381,231808,0,0,28,12,7,0,0,0.033343533
WA,2014,20505107,169479,209416,0,0,30,13,6,0,0,0.035509571
WA,2015,19517277,149557,218530,0,0,30,14,6,0,0,0.039846314
WA,2016,18577850,165270,210717,0,0,30,10,5,0,0,0.034810476
WA,2017,18947235,208060,206188,0,0,28,10,5,0,0,0.038851
WA,2018,18914420,166547,180710,0,0,30,10,4,0,0,0.03713119
WV,2012,69701838,538585,342031,682861,0,8,4,1,0,0,0.047433933
WV,2013,71488664,519411,348404,542938,0,7,5,1,0,0,0.041653433
WV,2014,76764371,532276,360053,531642,0,7,5,1,0,0,0.042125233
WV,2015,69764714,496408,333674,565509,0,8,5,1,0,0,0.0428267
WV,2016,72473502,464759,349428,562563,0,8,5,1,0,0,0.042416933
WV,2017,69750990,445275,335471,243451,0,9,5,1,0,0,0.040467967
WV,2018,63876271,442987,306650,580160,0,8,3,1,0,0,0.039150267
WI,2012,45751387,230654,244308,0,0,12,11,11,0,0,0.045718954
WI,2013,51865201,181648,257394,0,0,11,11,11,0,0,0.042344892
WI,2014,48386188,213334,240457,0,0,11,10,11,0,0,0.040777867
WI,2015,50010112,184043,234648,0,0,11,10,11,0,0,0.041384581
WI,2016,46462015,188750,208953,0,0,11,10,12,0,0,0.040692484
WI,2017,48623201,199869,222482,0,0,13,9,12,0,0,0.041132806
WI,2018,46635639,205928,206153,0,0,13,9,12,0,0,0.042113742
WY,2012,65830664,450255,344188,0,0,5,2,1,0,0,0.051209763
WY,2013,66049233,414683,437468,0,0,7,3,1,0,0,0.048341215
WY,2014,61484914,351584,382337,0,0,6,3,1,0,0,0.046814253
WY,2015,61879591,285047,387196,0,0,9,4,3,0,0,0.047057699
WY,2016,56589383,321505,289313,0,0,8,4,3,0,0,0.045845524
WY,2017,59290945,297810,316709,0,0,8,4,3,0,0,0.047979172
WY,2018,58332655,279305,254893,0,0,7,3,3,0,0,0.046784355
MN,2012,34125263,246393,192451,20717,0,17,11,13,0,0,0.040915048
MN,2013,34547300,251556,170554,29467,0,19,10,12,0,0,0.038734549
MN,2014,37744025,216039,190513,31048,0,20,10,11,0,0,0.036673627
MN,2015,35248691,228995,167365,14743,0,21,10,10,0,0,0.037874294
MN,2016,35181238,246760,166344,11187,0,21,10,11,0,0,0.034288235
MN,2017,34365400,266498,159201,4805,0,17,10,10,0,0,0.03659451
MN,2018,35809145,233444,165522,9203,0,17,9,9,0,0,0.037343706
DC,2012,280237,159,200,0,0,4,2,1,0,0,0.0488255
DC,2013,263970,128,147,0,0,4,2,0,0,0,0.044578222
DC,2014,287478,157,220,0,0,4,3,0,0,0,0.0450995
DC,2015,245473,138,190,0,0,4,3,0,0,0,0.045045667
DC,2016,238593,124,165,0,0,4,3,0,0,0,0.041661556
DC,2017,240768,122,151,0,0,4,4,0,0,0,0.038235333
DC,2018,271881,147,208,0,0,5,4,0,0,0,0.036343333
