,STATE,Year,CO2,CH4,N2O,Fluorinated GHG,Laws and Regulations,State Incentives,Utility/Private Incentives,Ozone,cluster
302,UT,2013,40024697,246932,250342,,12,5,4,0.053415277,1
303,UT,2014,39846411,246881,258140,,14,5,4,0.052105748,1
304,UT,2015,38444136,221702,222746,,15,7,4,0.052428619,1
305,UT,2016,32625912,210917,178204,,19,7,4,0.051122467,1
306,UT,2017,32547152,204635,141149,,21,8,4,0.047145782,1
307,UT,2018,33600025,208819,140453,,22,8,4,0.048056853,1
308,VT,2012,36510,5702,4668,,9,5,10,0.0424655,1
309,VT,2013,36050,61,124,,10,5,10,0.039804833,1
310,VT,2014,36312,2958,76,,10,5,10,0.039482833,1
311,VT,2015,39289,3684,76,,9,5,10,0.040898333,1
312,VT,2016,37718,3806,21,,9,5,9,0.039135222,1
313,VT,2017,36297,17,21,,9,5,10,0.037544778,1
314,VT,2018,37333,18,22,,11,4,10,0.038389667,1
315,VA,2012,31818558,437466,174043,,19,14,5,0.046047744,1
316,VA,2013,36883768,388972,156761,,20,14,4,0.04112476,1
317,VA,2014,36137665,374363,158498,,19,14,3,0.04261775,1
318,VA,2015,36823988,365497,145363,,18,12,3,0.042844821,1
319,VA,2016,39374011,424940,138959,,18,11,3,0.041768275,1
320,VA,2017,35016710,361724,101226,,18,11,2,0.041717696,1
321,VA,2018,36056866,336713,95428,,17,11,2,0.03994187,1
322,WA,2012,14829018,212026,273728,,27,13,8,0.036385933,1
323,WA,2013,20900934,191381,231808,,28,12,7,0.033343533,1
324,WA,2014,20505107,169479,209416,,30,13,6,0.035509571,1
325,WA,2015,19517277,149557,218530,,30,14,6,0.039846314,1
326,WA,2016,18577850,165270,210717,,30,10,5,0.034810476,1
327,WA,2017,18947235,208060,206188,,28,10,5,0.038851,1
328,WA,2018,18914420,166547,180710,,30,10,4,0.03713119,1
329,WV,2012,69701838,538585,342031,682861,8,4,1,0.047433933,1
330,WV,2013,71488664,519411,348404,542938,7,5,1,0.041653433,1
331,WV,2014,76764371,532276,360053,531642,7,5,1,0.042125233,1
332,WV,2015,69764714,496408,333674,565509,8,5,1,0.0428267,1
333,WV,2016,72473502,464759,349428,562563,8,5,1,0.042416933,1
334,WV,2017,69750990,445275,335471,243451,9,5,1,0.040467967,1
335,WV,2018,63876271,442987,306650,580160,8,3,1,0.039150267,1
336,WI,2012,45751387,230654,244308,,12,11,11,0.045718954,1
337,WI,2013,51865201,181648,257394,,11,11,11,0.042344892,1
338,WI,2014,48386188,213334,240457,,11,10,11,0.040777867,1
339,WI,2015,50010112,184043,234648,,11,10,11,0.041384581,1
340,WI,2016,46462015,188750,208953,,11,10,12,0.040692484,1
341,WI,2017,48623201,199869,222482,,13,9,12,0.041132806,1
342,WI,2018,46635639,205928,206153,,13,9,12,0.042113742,1
343,WY,2012,65830664,450255,344188,,5,2,1,0.051209763,1
344,WY,2013,66049233,414683,437468,,7,3,1,0.048341215,1
345,WY,2014,61484914,351584,382337,,6,3,1,0.046814253,1
346,WY,2015,61879591,285047,387196,,9,4,3,0.047057699,1
347,WY,2016,56589383,321505,289313,,8,4,3,0.045845524,1
348,WY,2017,59290945,297810,316709,,8,4,3,0.047979172,1
349,WY,2018,58332655,279305,254893,,7,3,3,0.046784355,1
